startValue,endValue,quantity,gids
5610000,5619999,0,[]
5620000,5629999,0,[]
5630000,5639999,0,[]
5640000,5649999,0,[]
5650000,5659999,0,[]
5660000,5669999,0,[]
5670000,5679999,0,[]
5680000,5689999,0,[]
5690000,5699999,0,[]
5700000,5709999,0,[]
5710000,5719999,0,[]
5720000,5729999,0,[]
5730000,5739999,0,[]
5740000,5749999,0,[]
5750000,5759999,0,[]
5760000,5769999,0,[]
5770000,5779999,0,[]
5780000,5789999,0,[]
5790000,5799999,0,[]
5800000,5809999,0,[]
5810000,5819999,0,[]
5820000,5829999,0,[]
5830000,5839999,0,[]
5840000,5849999,0,[]
5850000,5859999,0,[]
5860000,5869999,0,[]
5870000,5879999,0,[]
5880000,5889999,0,[]
5890000,5899999,0,[]
5900000,5909999,0,[]
5910000,5919999,0,[]
5920000,5929999,0,[]
5930000,5939999,0,[]
5940000,5949999,0,[]
5950000,5959999,0,[]
5960000,5969999,0,[]
5970000,5979999,0,[]
5980000,5989999,0,[]
5990000,5999999,0,[]
6000000,6009999,0,[]
6010000,6019999,0,[]
6020000,6029999,0,[]
6030000,6039999,0,[]
6040000,6049999,0,[]
6050000,6059999,0,[]
6060000,6069999,0,[]
6070000,6079999,0,[]
6080000,6089999,0,[]
6090000,6099999,0,[]
6100000,6109999,0,[]
6110000,6119999,0,[]
6120000,6129999,0,[]
6130000,6139999,0,[]
6140000,6149999,0,[]
6150000,6159999,0,[]
6160000,6169999,0,[]
6170000,6179999,0,[]
6180000,6189999,0,[]
6190000,6199999,0,[]
6200000,6209999,0,[]
6210000,6219999,0,[]
6220000,6229999,0,[]
6230000,6239999,0,[]
6240000,6249999,0,[]
6250000,6259999,0,[]
6260000,6269999,0,[]
6270000,6279999,0,[]
6280000,6289999,0,[]
6290000,6299999,0,[]
6300000,6309999,0,[]
6310000,6319999,0,[]
6320000,6329999,0,[]
6330000,6339999,0,[]
6340000,6349999,0,[]
6350000,6359999,0,[]
6360000,6369999,0,[]
6370000,6379999,0,[]
6380000,6389999,0,[]
6390000,6399999,0,[]
6400000,6409999,0,[]
6410000,6419999,0,[]
6420000,6429999,0,[]
6430000,6439999,0,[]
6440000,6449999,0,[]
6450000,6459999,0,[]
6460000,6469999,0,[]
6470000,6479999,0,[]
6480000,6489999,0,[]
6490000,6499999,0,[]
6500000,6509999,0,[]
6510000,6519999,0,[]
6520000,6529999,0,[]
6530000,6539999,0,[]
6540000,6549999,0,[]
6550000,6559999,0,[]
6560000,6569999,0,[]
6570000,6579999,0,[]
6580000,6589999,0,[]
6590000,6599999,0,[]
6600000,6609999,0,[]
6610000,6619999,0,[]
6620000,6629999,0,[]
6630000,6639999,0,[]
6640000,6649999,0,[]
6650000,6659999,0,[]
6660000,6669999,0,[]
6670000,6679999,0,[]
6680000,6689999,0,[]
6690000,6699999,0,[]
6700000,6709999,0,[]
6710000,6719999,0,[]
6720000,6729999,0,[]
6730000,6739999,0,[]
6740000,6749999,0,[]
6750000,6759999,0,[]
6760000,6769999,0,[]
6770000,6779999,0,[]
6780000,6789999,0,[]
6790000,6799999,0,[]
6800000,6809999,0,[]
6810000,6819999,0,[]
6820000,6829999,0,[]
6830000,6839999,0,[]
6840000,6849999,0,[]
6850000,6859999,0,[]
6860000,6869999,0,[]
6870000,6879999,0,[]
6880000,6889999,0,[]
6890000,6899999,0,[]
6900000,6909999,0,[]
6910000,6919999,0,[]
6920000,6929999,0,[]
6930000,6939999,0,[]
6940000,6949999,0,[]
6950000,6959999,0,[]
6960000,6969999,0,[]
6970000,6979999,0,[]
6980000,6989999,0,[]
6990000,6999999,0,[]
7000000,7009999,0,[]
7010000,7019999,0,[]
7020000,7029999,0,[]
7030000,7039999,0,[]
7040000,7049999,0,[]
7050000,7059999,0,[]
7060000,7069999,0,[]
7070000,7079999,0,[]
7080000,7089999,0,[]
7090000,7099999,0,[]
7100000,7109999,0,[]
7110000,7119999,0,[]
7120000,7129999,0,[]
7130000,7139999,0,[]
7140000,7149999,0,[]
7150000,7159999,0,[]
7160000,7169999,0,[]
7170000,7179999,0,[]
7180000,7189999,0,[]
7190000,7199999,0,[]
7200000,7209999,0,[]
7210000,7219999,0,[]
7220000,7229999,0,[]
7230000,7239999,0,[]
7240000,7249999,0,[]
7250000,7259999,0,[]
7260000,7269999,0,[]
7270000,7279999,0,[]
7280000,7289999,0,[]
7290000,7299999,0,[]
7300000,7309999,0,[]
7310000,7319999,0,[]
7320000,7329999,0,[]
7330000,7339999,0,[]
7340000,7349999,0,[]
7350000,7359999,0,[]
7360000,7369999,0,[]
7370000,7379999,0,[]
7380000,7389999,0,[]
7390000,7399999,0,[]
7400000,7409999,0,[]
7410000,7419999,0,[]
7420000,7429999,0,[]
7430000,7439999,0,[]
7440000,7449999,0,[]
7450000,7459999,0,[]
7460000,7469999,0,[]
7470000,7479999,0,[]
7480000,7489999,0,[]
7490000,7499999,0,[]
7500000,7509999,0,[]
7510000,7519999,0,[]
7520000,7529999,0,[]
7530000,7539999,0,[]
7540000,7549999,0,[]
7550000,7559999,0,[]
7560000,7569999,0,[]
7570000,7579999,0,[]
7580000,7589999,0,[]
7590000,7599999,0,[]
7600000,7609999,0,[]
7610000,7619999,0,[]
7620000,7629999,0,[]
7630000,7639999,0,[]
7640000,7649999,0,[]
7650000,7659999,0,[]
